cart_id,customer_id,anonymous_id,product_id,abandon_timestamp,cart_value
6c0e7662-c7f1-42aa-b059-c485fb1c1220,ee6d6129-cdb8-4e94-a4d5-1d1717ff13ff,,af5481f4-1ba7-4d45-aaf7-51c47a71875c,2025-06-27T15:30:38.739216Z,37.58
96e13172-4e86-4322-a93c-5b2db28343d0,,e70fb7c6-f1fb-45a6-8f21-43524e645cb1,3eb8e419-ccc6-4064-8260-5b43602f9983,2025-07-01T21:02:08.739418Z,21.69
2dc9017a-d69a-4f86-abb6-924af902594c,2d9804c7-95c0-4fba-95b6-b77e839f2b6a,,37727a64-f037-49a9-bcf8-086215ecb7fd,2026-03-06T10:39:12.739583Z,122.36
b7d295b4-1d47-4d46-a5b5-7805b13157a8,,9b0e6267-fe8d-4832-9544-8371362705ea,bdfcdbcc-7d63-4ecb-9a8f-8ae73ee085fb,2025-08-09T05:05:19.739804Z,13.26
2103b2a7-1b02-40be-aabd-a4159ee46b30,829f65f0-86a9-4c16-a506-828486931569,,3b0e25b0-04f3-4476-891e-18d67e3329ed,2026-06-16T13:21:27.739851Z,23.17
9c2f2442-c1bc-4e27-9b15-11f1887defad,7f2fc0fa-7e88-46d9-9367-bea32902ae90,,e4f08e85-289e-40c7-ad90-983f186d02dc,2026-05-01T01:58:49.739899Z,143.15
23d1d93f-9182-4419-978d-abede258200a,32641d01-608a-452b-a81e-79931539d759,,882325b0-d544-426c-b74e-9b64ff3ef4cc,2026-05-04T04:20:27.739934Z,102.57
b7439912-df5f-48df-b30c-8b12290ffaf5,25132108-bb6d-46c2-87b3-c00023e596af,,464065f2-15f0-4a2e-b25d-516dfff9dcca,2025-10-16T22:42:22.739970Z,86.29
8e57e108-51bd-4191-9408-cbe5165fac4c,fcd5220e-ef72-42c1-a491-e64bb6430821,,eae4837f-4e9f-40fb-a287-f3ea4195f02e,2025-10-01T14:20:46.739993Z,120.26
7116e9de-6727-47fb-8b1a-f2cd2d49a4fa,,1f31bd01-f3e2-4c9d-9d43-1ed43fd5a5d9,174b1816-01c1-46c2-8a46-6e6ad57e5965,2026-03-18T17:28:03.740034Z,38.57
0cfa41c7-bc73-4f6c-b42a-2ab2a1536323,9438779f-1292-4d84-b39f-fc1e728535f6,,77016229-03e7-4ace-860b-79ee16b3f42b,2025-11-24T03:29:19.740064Z,40.41
e7301213-c882-49d1-81f1-0f046f30c93a,,16c5dadc-c34e-4924-860a-b69fed34cc1f,28c08598-0919-4ad4-a544-1e20d0d0dc44,2025-12-30T03:28:08.740087Z,79.91
a03c391f-1420-49de-9a1b-a867214a07b0,ca0da774-1aab-4c48-92be-298e5115308b,,8dd60692-d201-4c50-a580-7850c1e95f00,2025-07-24T18:22:36.740196Z,7.49
cd105cd9-d19c-4d7e-97b1-6d0868a5bd8a,,476364ae-02cf-4787-a133-7a9d0837bd64,39e9c2c9-901f-499e-8c46-57804a2f9255,2025-07-10T21:21:29.740255Z,118.18
60fccba5-87bf-40e9-8173-19e324c49586,,cea97802-4770-42f9-8746-7616d1b62f12,dc65cf1c-922f-4f2a-be7d-7f596ab58867,2025-12-08T21:37:14.740359Z,119.6
91ea9736-17ee-46b1-956f-082c9aa19f93,,0a7c88e7-f3df-4839-aafb-76273ec538a9,eab47c6e-60d0-411e-ade2-82fc0a973fef,2025-08-15T03:18:04.740443Z,149.5
6936790a-c04a-42f1-a468-a2c896db21c3,,d7f0c170-f047-496d-9bc5-849cac5bc0b2,d98ac824-b1cb-493c-b4dc-fa735d579080,2025-11-09T01:47:23.740678Z,136.95
4b0c4b33-cccf-4615-be8a-84dad9135730,50d63bd5-61fe-4e78-8ff3-2c6fc971d3e1,,af5481f4-1ba7-4d45-aaf7-51c47a71875c,2025-07-24T21:19:13.740916Z,66.96
27f9d74d-a01f-4a15-8535-40e5b15a21ae,f05d21fe-1d01-46da-81a2-d4afc8637211,,14c50a07-309d-4aac-8004-a94d51e3ca87,2025-12-25T20:47:24.741017Z,54.71
170808fa-d27e-42d2-bf63-8638cebe2cf9,,d2aa12c9-c56d-45c2-81ab-c7b151250a7f,eab47c6e-60d0-411e-ade2-82fc0a973fef,2025-11-06T17:26:12.741084Z,21.79
9313eb20-d789-4ab7-9e24-55100bdf3f0d,4965914d-e32d-46ce-8abf-92f44d7cc7f8,,77016229-03e7-4ace-860b-79ee16b3f42b,2025-08-28T20:28:36.741400Z,28.22
b1b50ef6-0c54-4b84-b121-bca4067cc1c5,27b7a965-5245-4af3-9aa1-cea6862290ce,,28c08598-0919-4ad4-a544-1e20d0d0dc44,2026-01-09T12:05:16.741654Z,130.66
ae285800-aabf-4c62-8355-2c9cc3ee635b,,6307cf05-5446-489a-bd48-ef262b35b249,c3163de1-b9cd-44a7-93e9-588433a1e23f,2026-01-30T01:22:37.741671Z,35.15
585dbba8-46af-47ff-bcf2-b1c072f5a515,755dc9d4-d2b1-46e3-a1c1-b06013ec4b71,,77016229-03e7-4ace-860b-79ee16b3f42b,2026-03-14T23:04:22.741700Z,18.46
a76e0f7a-2936-4e6a-b900-74cdd2fa3cfc,df7aa237-7381-47be-a062-6fa5f8aa9f42,,c3163de1-b9cd-44a7-93e9-588433a1e23f,2025-11-24T03:38:39.741717Z,25.67
c605c5d9-bde3-4aa0-9805-376fb5b7649d,be0e6f76-50b0-41fc-b767-65029d5bd15b,,8dd60692-d201-4c50-a580-7850c1e95f00,2025-08-16T22:08:28.741867Z,113.28
fc970751-222f-4979-a60d-f3712a1d7fce,b5b918af-3492-451b-a8ef-799b0615a9a5,,54c76350-7f69-4f75-b451-d79351462bca,2025-10-22T10:44:00.741885Z,83.55
b94b2f49-09d0-47e8-821a-ee808011f8b2,,1f31bd01-f3e2-4c9d-9d43-1ed43fd5a5d9,9183c4c5-47db-4e6d-af05-9eafe1f586a0,2026-04-23T06:48:55.742002Z,65.2
1d5be0b1-b491-43dc-b351-08d970e2a3ed,91861c5e-4dd7-428e-a4a0-5bd6de894207,,51de8c93-7a17-4f51-ba8f-d0ac995c566a,2026-02-08T10:53:44.742025Z,73.29
aaa1cb66-cc5f-4331-9f38-fc35e9cb358f,,2ca7d1bb-76cc-47af-bb20-f3811c4c98b8,77016229-03e7-4ace-860b-79ee16b3f42b,2026-04-05T08:41:50.742154Z,129.77
