interaction_id,customer_id,campaign_id,interact_timestamp,action
6f5551dc-c50d-4df8-b094-f1bcc6b16028,77e21ed9-534c-49ff-bf3a-6c81910050d5,acc96de1-b5a9-4a0c-944a-6644d8486600,2026-02-06T13:20:05.848809Z,Opened
fe931323-61ce-4929-88b1-e8223ed58d46,48c3b50c-eb8e-4708-a496-988f45e79034,bafbf00d-7cad-456e-bfd0-0d8fc60045f0,2025-08-26T04:23:23.848815Z,Clicked
81fc6337-011c-4d62-8895-280102d92258,aa643d96-ef79-47e9-a367-5a03dbda3bec,d262398c-8ac9-4474-8f1d-0ed804abf7cb,2026-01-09T13:56:16.848821Z,Clicked
b51c98d6-dcf3-4c0b-aab2-0ad9b75bc8c6,7228b3d7-ca33-490a-b2e0-810ee8eb72a2,52f74d2d-4a6c-4a87-bc92-2ea46e0f6fb8,2026-01-14T22:18:56.848828Z,Ignored
d59592d8-8dfc-423b-92f0-a5c80f67cda8,53adf45c-8f72-4878-b332-c6cc1d892989,bafbf00d-7cad-456e-bfd0-0d8fc60045f0,2025-12-12T02:36:48.848834Z,Clicked
3c400cdb-101b-441c-bce3-f4f64867ccd0,723d20ef-52e1-4d8d-8e5c-c99424c3b0be,f34e887b-3b97-404f-8d78-ad0afc507961,2025-08-24T04:45:27.848840Z,Opened
eca3e8db-0e82-480f-815b-2c0aec9178b1,e48601f7-7854-4f5c-90c1-a5b4e61cbbc6,d262398c-8ac9-4474-8f1d-0ed804abf7cb,2026-02-05T12:47:46.848846Z,Ignored
a3c24929-b1a6-42bf-9dca-b3403e0879a9,d4e85052-2f91-44f1-a8da-24efc3a6e3e0,acc96de1-b5a9-4a0c-944a-6644d8486600,2026-04-11T11:25:30.848851Z,Opened
87f4523d-97a7-446d-ae06-2784df4d7eea,43ff3680-1dd2-4bca-a724-cabfccea5385,f7409bb6-0eda-4cbb-ac82-f019a4ca505a,2025-10-29T18:03:30.848857Z,Opened
ac82ac2e-6e0a-40d9-8df3-c436b3035bc4,79674428-f04f-4f7c-a90c-5e1747d54c5e,52f74d2d-4a6c-4a87-bc92-2ea46e0f6fb8,2025-08-29T06:02:00.848863Z,Opened
07555613-87e8-4a79-b243-8dfd5c589f5b,8c5395eb-5111-40b9-9742-80230f944c91,23055d04-c67c-4d6c-9691-00192bd576fa,2026-02-08T06:17:39.848869Z,Clicked
38c6754d-433c-4772-b078-45332287078a,b5b918af-3492-451b-a8ef-799b0615a9a5,23055d04-c67c-4d6c-9691-00192bd576fa,2025-08-17T08:03:40.848875Z,Ignored
d279948c-a479-43eb-bc74-dd21b61d255d,4f782818-803d-4494-86b0-18c174d4f6df,f34e887b-3b97-404f-8d78-ad0afc507961,2025-09-30T14:34:25.848881Z,Opened
