view_id,customer_id,anonymous_id,product_id,view_timestamp,duration_seconds
f3ad4415-2d25-4e4f-80fa-1af63ab3bac9,f67dbfa0-ba5f-459d-a062-6f1f31dec761,,6f6d558c-4b40-4c66-a4e6-e46524190ebc,2025-12-29T05:13:28.739145Z,98
e6a6d9b2-93bc-46e1-b405-a8e6e10daaec,,ae226b3b-84a5-4097-b984-9153a773d499,12e3fbe3-5387-41d3-b055-ed6b543f5f0f,2025-10-06T18:29:40.739171Z,84
7030bf66-5b6b-4287-b861-a11fbcd57805,e9679519-56ba-4007-bae4-1cd922e9f605,,5bdd189c-8321-48aa-bae9-e2962031a00b,2025-11-10T17:16:50.739185Z,36
bb14ab4f-e279-4fec-8d15-ab510a63d80b,,4c0385b9-21b9-4ebe-a36c-f1e4d375dd95,370920ed-3f8d-46f5-b78d-f4d5c426c5e2,2026-02-10T19:54:02.739198Z,48
b8339c05-4125-42c0-a243-8203a13fed3f,ee6d6129-cdb8-4e94-a4d5-1d1717ff13ff,,af5481f4-1ba7-4d45-aaf7-51c47a71875c,2025-09-01T03:06:37.739210Z,36
a60b71f2-d699-4438-8ae0-156e081eedd0,,e08cc821-57ee-4632-9845-c494fe0137fe,1638242a-9e18-4c5a-8ba7-dcb01ef7c6b0,2025-08-04T19:19:48.739228Z,69
bff04f99-3a5a-47d8-a03b-9066ab0067e6,8c5395eb-5111-40b9-9742-80230f944c91,,22a51531-4be1-45dc-9e5d-2c9c0df0de82,2025-10-04T11:20:44.739241Z,9
57850aa0-1298-4739-b759-73ed6891680c,,c57ec685-f016-4fcb-81e0-d236a447876c,a81b33a7-ba53-452c-8801-04aabe7f038f,2026-04-19T07:33:01.739260Z,86
284d3320-862b-40d5-84f1-f1f9165d11e2,4e177d60-5959-49c5-bcd4-1d77c4ff1a95,,6f6d558c-4b40-4c66-a4e6-e46524190ebc,2025-11-08T01:42:56.739278Z,69
d5f9f035-245b-4ead-a78a-ec0102fb3a2e,7b7bb4b9-c3f4-42b1-b1b7-c36758da9223,,370920ed-3f8d-46f5-b78d-f4d5c426c5e2,2025-07-12T07:18:12.739290Z,50
b0e97842-1da8-4873-9186-e5ddd8586a0d,69cae572-5dac-44b8-9774-94bd8be10195,,a81b33a7-ba53-452c-8801-04aabe7f038f,2025-08-30T06:32:27.739309Z,114
800d4183-434b-4598-837b-4ab5bbdf61b1,7b1f75b4-44d7-4ed5-9c63-74b7d6d2032f,,39e9c2c9-901f-499e-8c46-57804a2f9255,2026-02-23T01:44:09.739329Z,33
8251ab71-42dd-4fa1-b494-30f0723503b2,,afe1edd5-1ad8-4422-990f-7e2973ea1aba,59d6d6c9-1940-4e0a-a3ed-ca04666e89b9,2025-09-30T22:00:20.739341Z,53
6ae57cc7-4a9f-4b9f-9ee4-5fc0b5ca5930,,42f6a02b-726b-4884-831f-713345c1dfe9,c3163de1-b9cd-44a7-93e9-588433a1e23f,2025-12-08T04:39:04.739354Z,35
e7550afe-b41d-445d-806b-fec32af88fed,,6847ceb7-ca4f-410e-8255-a7bc0c8867c2,cf9874d1-705f-46b6-b3e9-cbe1e58e3847,2025-08-05T12:55:29.739366Z,106
effa2f9b-01e3-4a58-af52-f7e25f9533c2,dd263c9c-e558-4bca-8114-66d0fa78cee6,,37727a64-f037-49a9-bcf8-086215ecb7fd,2025-07-05T20:14:21.739379Z,34
8448c368-914e-4719-acf5-011009bc27a8,d61841d6-2c66-4132-87bb-6efc7dc20ff7,,6b43d3b7-aca8-4905-9318-b1c3fbed419e,2026-02-02T14:04:52.739399Z,112
c53570da-b7b0-4722-8904-139d13e9da85,,e70fb7c6-f1fb-45a6-8f21-43524e645cb1,3eb8e419-ccc6-4064-8260-5b43602f9983,2026-03-15T19:53:03.739412Z,23
121e38cd-0409-43ce-9246-c057599e19ce,b6480a4f-e22e-4044-abb3-b492359dd3c3,,54c76350-7f69-4f75-b451-d79351462bca,2025-07-17T21:00:51.739431Z,62
fbb81349-3511-4643-9442-44238197b9c4,3ecae672-5af1-46e1-9a0e-51072774bdb6,,6b43d3b7-aca8-4905-9318-b1c3fbed419e,2025-06-24T11:11:37.739449Z,78
4a1cd12f-f699-40d5-91ef-9b61350660f4,,0c0c170d-3b84-4de9-b354-7c468b723baf,bb3acd74-a761-49bd-b7bc-fbf35502e696,2025-10-28T01:07:44.739461Z,57
5e5b48af-11cc-4ef5-84fc-be4fee384165,00ca2b1f-8a0f-4552-bd32-c770a13c2b62,,8dd60692-d201-4c50-a580-7850c1e95f00,2025-07-09T20:33:21.739473Z,15
aec55f7d-f0c3-4d3c-a5cf-2aaf524ccf6b,bf282578-4e04-4255-b024-b80b82b09ea3,,bb3acd74-a761-49bd-b7bc-fbf35502e696,2025-10-24T03:05:56.739492Z,46
6eb35423-0e02-49db-82f4-27965091ceb1,,7a9a3391-5b44-4ba1-9a99-b7635aa8cd59,a81b33a7-ba53-452c-8801-04aabe7f038f,2025-10-12T02:02:15.739504Z,106
27ee8601-1702-4e6a-9ecc-34f9c296beab,c343dfee-5c83-4696-b3a0-0f340278fb7a,,af5481f4-1ba7-4d45-aaf7-51c47a71875c,2026-03-10T21:27:12.739516Z,65
390d8664-c10c-4e5a-bc0f-e96800b41d81,18c3e1da-6877-487b-8648-3e489b693c24,,96164111-3295-4ecd-9696-77c13aa1e9c6,2026-04-15T07:18:45.739528Z,113
24f7f0a1-559c-4cd2-9cb3-1844f98f88c4,84197273-d738-468e-ae5f-34937988f908,,1209a847-3e6d-4ef1-a2ac-448ae204babe,2025-06-21T13:18:02.739540Z,61
8585fc0e-8c89-430d-9132-70c86aa63337,e1053777-b61a-4ac5-80a1-a50c3f13f99c,,cf925fde-e447-40d6-8073-e23c6f551820,2026-01-19T15:19:04.739552Z,27
f622d372-2ecb-4790-912e-577571ff2b6d,6e088c5f-39b5-44fb-97db-fb9f5abd57ff,,e17a19cd-8381-40b6-8771-702f3a282e0c,2026-05-07T21:02:30.739565Z,104
5cd229e6-1bc6-4e24-bc9e-ccb6eb8f876f,2d9804c7-95c0-4fba-95b6-b77e839f2b6a,,37727a64-f037-49a9-bcf8-086215ecb7fd,2025-10-22T02:37:52.739577Z,109
6f80bc36-0304-49cb-a4e5-baaa09ed2191,6e088c5f-39b5-44fb-97db-fb9f5abd57ff,,99a57440-b846-4581-bc1a-44f38a214cf6,2025-12-13T21:57:45.739595Z,109
